หมอ	NN	B_TTL	B_CLS
จีรเดช	NN	B_PER	I_CLS
ตำหนิ	VV	O	I_CLS
กลุ่ม	NN	O	I_CLS
สมาคม	NN	B_ORG	I_CLS
ยก	NN	I_ORG	I_CLS
น้ำหนัก	NN	E_ORG	I_CLS
ปชช.	NN	O	I_CLS
เลือก	VV	O	I_CLS
ข้าง	NN	O	I_CLS
ไม่	NG	O	I_CLS
ถูกต้อง	VV	O	E_CLS

โฆษก	NN	O	B_CLS
รัฐบาล	NN	O	I_CLS
_	PU	O	I_CLS
ตำหนิ	VV	O	I_CLS
กัมพูชา	NN	B_ORG	I_CLS
ให้	AX	O	I_CLS
ประชาชน	NN	O	I_CLS
เลือก	VV	O	I_CLS
ข้าง	NN	O	I_CLS
ไม่	NG	O	I_CLS
ถูกต้อง	VV	O	I_CLS
_	PU	O	I_CLS
วอน	VV	O	I_CLS
ใช้	VV	O	I_CLS
วิจารณญาณ	NN	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
ฟัง	VV	O	I_CLS
_	PU	O	I_CLS
อย่า	NG	O	I_CLS
ดึง	VV	O	I_CLS
ฟ้า	NN	O	I_CLS
ต่ำ	VV	O	I_CLS
_	PU	O	I_CLS
ทำ	VV	O	I_CLS
สังคม	NN	O	I_CLS
แตกแยก	VV	O	I_CLS
_	PU	O	I_CLS
ระบุ	VV	O	I_CLS
ทุก	NU	O	I_CLS
คน	CL	O	I_CLS
จงรักภักดี	VV	O	I_CLS
ต่อ	PS	O	I_CLS
ในหลวง	NN	O	I_CLS
_	PU	O	I_CLS
เรียกร้อง	VV	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
สฤษฏ์พงษ์	NN	B_PER	I_CLS
"	PU	O	I_CLS
_	PU	O	I_CLS
นำ	VV	O	I_CLS
คำ	NN	O	I_CLS
บรรยาย	VV	O	I_CLS
ของ	PS	O	I_CLS
นายก	NN	O	I_CLS
ฯ	PU	O	E_CLS
_	PU	O	O
ทำให้	CC	O	B_CLS
เกิด	VV	O	I_CLS
ความ	FX	O	I_CLS
ชัดเจน	VV	O	I_CLS
_	PU	O	I_CLS
อึ้ง	VV	O	I_CLS
_	PU	O	I_CLS
ถูก	AX	O	I_CLS
สื่อ	NN	O	I_CLS
ถาม	VV	O	I_CLS
เรื่อง	NN	O	I_CLS
รื้อฟื้น	VV	O	I_CLS
รายการ	NN	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
รอง	NN	B_DES	I_CLS
_	NN	I_DES	I_CLS
ผู้	NN	I_DES	I_CLS
ว่า	NN	I_DES	I_CLS
ฯ	NN	E_DES	I_CLS
ฯ	PU	E_DES	I_CLS
_	PU	O	I_CLS
วชิราภรณ์	NN	B_PER	I_CLS
พบ	VV	O	I_CLS
สื่อ	NN	O	I_CLS
มวล	NN	O	I_CLS
ชน	NN	O	I_CLS
"	PU	O	E_CLS

