กกต.	NN	B_DES	B_CLS
พิชัย	NN	B_PER	I_CLS
ที่	PS	O	I_CLS
_	PU	O	I_CLS
2	NU	B_NUM	I_CLS
_	PU	O	I_CLS
เฟรนช์	NN	O	I_CLS
โอเพน	NN	O	E_CLS

กอล์ฟ	NN	O	B_CLS
ยูโรเปียน	NN	O	I_CLS
ทัวร์	NN	O	I_CLS
รายการ	NN	O	I_CLS
_	PU	O	I_CLS
เฟรนช์	NN	O	I_CLS
_	PU	O	I_CLS
โอเพน	NN	O	I_CLS
_	PU	O	I_CLS
สนาม	NN	O	I_CLS
พาร์	NN	O	I_CLS
_	PU	O	I_CLS
71	NU	O	I_CLS
_	PU	O	I_CLS
ที่	PS	O	I_CLS
ฝรั่งเศส	NN	O	I_CLS
_	PU	O	I_CLS
รอบ	NN	O	I_CLS
แรก	NU	O	I_CLS
_	PU	O	I_CLS
เมื่อ	PS	O	I_CLS
วันที่	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
2	NU	I_DTM	I_CLS
_	PU	I_DTM	I_CLS
ก.ค.	NN	E_DTM	I_CLS
_	PU	O	I_CLS
ชูชัย	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
ประวีณวงศ์วุฒิ	NN	E_PER	I_CLS
_	PU	O	I_CLS
โปร	NN	O	I_CLS
จาก	PS	O	I_CLS
วัด	NN	B_LOC	E_CLS
อม	NN	I_LOC	I_CLS
ริน	NN	I_LOC	I_CLS
ทร	NN	I_LOC	I_CLS
า	NN	I_LOC	I_CLS
ราม	NN	E_LOC	I_CLS

นำ	VV	O	B_CLS
เดี่ยว	AV	O	I_CLS
สกอร์	NN	O	I_CLS
_	PU	O	I_CLS
9	NU	B_NUM	I_CLS
_	PU	O	I_CLS
อันเดอร์พาร์	CL	B_MEA	I_CLS
_	PU	O	I_CLS
62	NU	B_MEA	E_CLS
_	PU	O	O
โดย	CC	O	B_CLS
มี	VV	O	I_CLS
โปร	NN	O	I_CLS
_	PU	O	I_CLS
5	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ราย	CL	B_MEA	I_CLS
ตาม	VV	O	I_CLS
มา	AV	O	I_CLS
ใน	PS	O	I_CLS
อันดับ	NN	O	I_CLS
